id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1122230445093211136,Montmorency Local,165516154,Hope,,Banyule,-37.71669722243209,145.1212838561512,Private room,72,2,4,2024-08-19,0.82,2,86,4,
1122249726494740645,private bedroom CBD location,31116655,Mark,,Melbourne,-37.80344903394751,144.9577040052464,Private room,63,1,1,2024-06-06,0.32,19,245,1,
1122251243058250433,Mel east best one bed room apt,536511541,Amy,,Boroondara,-37.8131613,145.0905621,Entire home/apt,158,1,3,2024-06-22,0.87,38,26,3,
1122283355116662158,Central dog friendly townhouse.,9885145,Ali,,Hobsons Bay,-37.8631805,144.8951588,Entire home/apt,246,2,6,2024-07-04,1.22,8,34,6,
1122287510750608832,Self-contained unit $75 per day,405716375,Amna,,Whittlesea,-37.689671551573596,145.0490989163518,Private room,75,1,0,,,1,269,0,
1122312289654218215,A Spacious & Chic Home Next to Southern Cross,343442154,Advante Homes,,Melbourne,-37.8154878,144.9542238,Entire home/apt,82,1,16,2024-08-19,3.75,168,168,16,
1122326149329015778,Trendy Abode Facing Tree Canopy. Pool/Gym/Jacuzzi,540619983,V,,Melbourne,-37.81274827788336,144.95316543452782,Entire home/apt,171,1,26,2024-08-30,4.84,21,53,26,
1122362750818070918,Master bedroom heart of tarneit,569382127,Bindu,,Wyndham,-37.82067099715717,144.67892387792045,Private room,200,1,0,,,2,270,0,
1122423291189124234,Light Filled 2BR Southbank parking Pool,68749128,Rui,,Melbourne,-37.82453,144.96228,Entire home/apt,151,2,9,2024-09-01,1.89,22,71,9,
1122715958759498370,Spacious 3BR Family Haven in Upper Ferntree Gully,239827525,AirKeeper,,Knox,-37.89393781081919,145.31069948474783,Entire home/apt,149,2,3,2024-07-12,0.72,96,305,3,
1122748763756985040,Brunswick Executive Apt. 2BR with parking,128528415,Sandra,,Moreland,-37.76347,144.96283,Entire home/apt,228,2,9,2024-08-11,1.80,18,132,9,
1122751968638514922,Richmond Hill Treasure,12907768,Tim,,Yarra,-37.8198423,144.9941084,Entire home/apt,251,2,3,2024-05-13,0.62,2,61,3,
1122780924175498682,Cloverton Escape Retreat,538488639,Tendai,,Hume,-37.53538022779224,144.96007715038454,Entire home/apt,210,2,15,2024-08-24,3.10,1,207,15,
1122825003904370230,Shine Keysborough High-end Family Home w Netflix,238573760,Ivy,,Greater Dandenong,-38.013199425974435,145.158913858384,Entire home/apt,288,5,2,2024-06-13,0.61,3,350,2,
1122904385159068993,"Comfort, Quiet and tidy place.",113710908,Hari,,Wyndham,-37.87011979611862,144.66721852227937,Private room,51,1,3,2024-05-20,0.59,1,270,3,
1122912120535353438,The Cottage,72612321,Danny,,Yarra Ranges,-37.876188303075274,145.41520133044324,Private room,108,1,0,,,1,266,0,
1122932412808670011,Modern Apt+City View+Free Parking in Docklands,565965713,Penny,,Melbourne,-37.82037,144.9522,Entire home/apt,100,1,28,2024-09-04,5.64,4,123,28,
1117702767447340094,2 Bedrooms / 1 Bathroom Apt,5555223,Teresa,,Melbourne,-37.8228419,144.9523617,Entire home/apt,199,14,0,,,1,88,0,
1117770488631249616,entire 2/2 + amenities & car park!,106606306,Ariel,,Stonnington,-37.839151799523435,144.9936605260999,Entire home/apt,178,3,1,2024-03-29,0.19,2,74,1,
1117786209658001169,Comfy Brand New 4BR House With All You Need,181698992,Finn,,Casey,-38.0928798,145.250042,Entire home/apt,178,1,6,2024-08-22,1.25,8,72,6,
1117796697093498949,Doncaster melbourne,49693423,Magdalena,,Manningham,-37.78833582327972,145.12527672205633,Entire home/apt,136,2,5,2024-08-15,3.33,1,205,5,
1117798021020552752,Home away from home.,216301494,Elaine,,Cardinia,-38.064,145.4494,Private room,68,1,3,2024-07-03,0.77,1,267,3,
1117805386899806158,Apartment in Melbourne CBD with amazing views,207331544,Cielo,,Melbourne,-37.8071364,144.9603738,Private room,110,2,0,,,1,189,0,
1117836945036214781,Samma | Flagstaff 3BR Luxury Skyline| Gym | Pool,525971641,Samma,,Melbourne,-37.80988531735216,144.9512955481832,Entire home/apt,324,1,4,2024-08-26,1.82,9,357,4,
1117838945444726736,Master Bedroom with en suite,473754399,Goce-George,,Whittlesea,-37.6404072,145.0677935,Private room,90,1,0,,,4,269,0,
1117864980424056695,2 BR & 2 Bath Contemporary Apt w/ FREE Parking,505760430,Juan,,Melbourne,-37.8244145,144.9621883,Entire home/apt,119,1,11,2024-08-24,2.77,5,42,11,
1117867331591731550,Cozy 4B new house near The Glen,206034168,D,,Whitehorse,-37.861449612633045,145.1854622091824,Entire home/apt,,2,0,,,7,0,0,
1117892612388401008,81pq4,60145749,Thomas,,Maribyrnong,-37.79181998473381,144.86846087066675,Private room,46,2,0,,,22,153,0,
1117912991006489516,Cozy Retreat near Chadstone,568352975,Han,,Monash,-37.8924519,145.0808249,Private room,55,1,0,,,1,364,0,
1117929129458818908,Master kingbed  room for share with all facilities,515636675,Steven,,Greater Dandenong,-37.98819448036601,145.1594817789246,Private room,65,2,5,2024-07-12,1.09,4,362,5,
1118016591426561674,Beautiful room near Deakin Burwood,528313973,Steffi,,Whitehorse,-37.83873735859585,145.11032285013795,Private room,70,1,2,2024-04-29,0.42,1,7,2,
1118282887129160225,Stotts Lane Fun Farm Stay,451020646,Salli,,Frankston,-38.187683,145.1510205,Entire home/apt,1055,2,0,,,6,230,0,
1118292991437470656,Period home with modern comforts,5580505,Ben,,Glen Eira,-37.87032,145.0074,Entire home/apt,,10,0,,,1,0,0,
1118335739731748958,Perfect stay @ SkyGarden,60650592,Albert,,Monash,-37.87651,145.16339,Entire home/apt,247,1,19,2024-08-19,3.54,7,243,19,
1118390118117139835,Nanna’s,275030583,Sharyn,,Darebin,-37.71089416795955,145.01684660739951,Entire home/apt,175,1,1,2024-04-09,0.20,1,89,1,
1118395663809111420,Home in Brighton,373437602,Nyc,,Bayside,-37.91651,145.00404,Entire home/apt,326,1,2,2024-06-09,0.54,10,179,2,
1118402531622378343,Family home in Beautiful Elwood,96135305,Anna,,Port Phillip,-37.8777434489083,144.98104924357756,Entire home/apt,295,2,6,2024-07-28,1.40,1,196,6,
1118419352326355257,Tolarno Hotel - Chambre Boheme - Australia,139305310,Nasha,,Port Phillip,-37.85894648294317,144.97643795896667,Private room,,3,0,,,5,354,0,
1118433553470538499,Sky garden on the glen - Deluxe apartment,95524329,Tracy,,Monash,-37.87624823365427,145.1642048755478,Entire home/apt,363,1,0,,,4,352,0,
1118541616916902377,Dockland Harbour Apartment ~,95650614,Rachele,,Melbourne,-37.82008,144.94213,Entire home/apt,144,1,1,2024-05-25,0.29,3,93,1,
1118572245057188609,Relax and rejuvenate in style,568491110,Neha,,Melton,-37.731206322116314,144.61567230695732,Private room,100,1,0,,,1,270,0,
1118638198718631626,Modern apartment in Southbank with great view,568502146,Thi Nguyet Anh,,Melbourne,-37.82540757844316,144.9647994412647,Entire home/apt,227,2,5,2024-08-04,1.05,1,295,5,
1118642291808369072,Tree Top On Rockley,566987652,Lucy,,Stonnington,-37.83623751664957,145.00036485493183,Entire home/apt,200,2,2,2024-07-19,0.45,1,275,2,
1118721152398868545,Fitzroy One Bedroom Studio Central,163554327,Steven,,Yarra,-37.80495829410747,144.97915260044866,Entire home/apt,112,1,5,2024-08-26,1.03,11,136,5,
1118946276432585495,Doorstep to Yarra and CBD,391458155,Chelsea,,Yarra,-37.82928664002936,145.00864304691507,Entire home/apt,135,4,2,2024-04-07,0.38,1,96,2,
1119036223324365404,Sunny retreat on the hill | Steps away from Swan,51383446,Taras,,Yarra,-37.82441526302617,144.99650951474905,Entire home/apt,212,1,9,2024-08-18,2.16,1,148,9,
1119067827929015693,The Dairy,532351319,Georgina,,Cardinia,-38.120321866466256,145.64214395851337,Entire home/apt,256,2,14,2024-09-01,2.64,1,245,14,
1119104430531281231,Ordinary short term stay  at North Melbourne,92261416,Shinta Sari,,Melbourne,-37.79744404820611,144.95156876742837,Entire home/apt,98,1,22,2024-09-05,4.65,2,75,22,
1119159628436502279,20% off Monthly Box Hill 2Bedrooms Apt +Parking,482857835,Emily,,Whitehorse,-37.82062,145.12821,Entire home/apt,139,1,4,2024-08-20,0.79,6,273,4,
1119162198455376548,Amazing stay close to the CBD,568627373,Ala,,Moonee Valley,-37.78637,144.93808,Entire home/apt,215,1,2,2024-04-20,0.39,1,269,2,
1119187394941138893,4 bedroom Yarraville home with nursery,3949546,Hollie,,Maribyrnong,-37.8215696,144.8886683,Entire home/apt,285,3,5,2024-08-11,1.67,1,101,5,
1119214319441554468,Southbank's 'Stature' Building 2 Bed Apartment,504077327,Matt,,Melbourne,-37.82854,144.95772,Entire home/apt,169,1,8,2024-07-08,1.64,35,126,8,
1119227671144593365,Cozy room C1 in a Guesthouse,498644535,Thuy,,Wyndham,-37.88245977600318,144.6855434728406,Private room,50,3,4,2024-06-20,0.92,14,256,4,
1119229544374347954,Stylish home with weekly cleaning,86036733,Julian,,Moreland,-37.74677208156846,144.94887607097579,Entire home/apt,263,13,0,,,1,14,0,
1119245952099999657,Private room P1 in a Guesthouse,498644535,Thuy,,Wyndham,-37.86748850388635,144.70113819516192,Private room,45,3,3,2024-07-10,0.71,14,236,3,
1119260541108709746,Private room P5 in a Guesthouse,498644535,Thuy,,Wyndham,-37.86747932372843,144.70186299916637,Private room,45,3,4,2024-07-27,0.76,14,260,4,
1119279040324489149,Box Hill Warm Cosy and Spacious 3 bedroom home,75127954,Millai Wen,,Whitehorse,-37.8312413523145,145.12788007725618,Entire home/apt,239,2,3,2024-08-14,1.01,1,89,3,
1119288822043189645,Cute Inner City Vintage Cottage,150415013,Jason,,Port Phillip,-37.83503345952319,144.93874913407296,Private room,166,1,0,,,2,269,0,
1119349860542594364,Elegant Guest Bedroom with a View,47754974,Ethan,,Melbourne,-37.810221,144.9506929,Private room,106,2,23,2024-09-02,4.29,1,93,23,
1119366286539037760,"Newly renovated, spacious & LUXE",341075282,Lee,,Moreland,-37.77343,144.9487,Entire home/apt,252,1,12,2024-08-10,2.52,1,250,12,
1119392808152925019,Abbotsford Apartment: Yarra River & CBD nearby,323868168,Magdalena,,Yarra,-37.8108004,145.0029604,Entire home/apt,151,2,41,2024-09-02,7.74,5,56,41,
1119703543433534698,Williamstown Townhouse,170088019,Angela,,Hobsons Bay,-37.8566904,144.8719942,Entire home/apt,450,1,0,,,1,243,0,
1119755548636354270,Light Filled Apartment by Albert Park & Lake,279001183,MadeComfy,,Port Phillip,-37.83768,144.97419,Entire home/apt,168,3,1,2024-05-25,0.29,224,299,1,
1119785241223003366,Perfect ECOSA Experience. Airbnb in Pascoe Vale,568786136,Trang,,Moreland,-37.73480958225433,144.93770645899966,Entire home/apt,154,2,0,,,1,270,0,
